main_category,category_group,sub_category,sub_sub_category
PARFUM,,Herren,
PARFUM,,Damen,
PARFUM,,Unisex,
PARFUM,,Geschenksets,
GESICHT,Gesichtspflege,Gesichtscreme,Tagescreme
GESICHT,Gesichtspflege,Gesichtscreme,Nachtcreme
GESICHT,Gesichtspflege,Gesichtscreme,Getönte Tagescreme
GESICHT,Gesichtspflege,Gesichtsserum,Feuchtigkeitsserum
GESICHT,Gesichtspflege,Gesichtsserum,Anti-Aging Serum
GESICHT,Gesichtspflege,Gesichtsserum,Hyaluron Serum
GESICHT,Gesichtspflege,Gesichtsserum,Kollagen Serum
GESICHT,Gesichtspflege,Gesichtsserum,Ampullen
GESICHT,Gesichtspflege,Gesichtsöl,
GESICHT,Gesichtsreinigung,Reinigungsschaum,
GESICHT,Gesichtsreinigung,Reinigungsgel,
GESICHT,Gesichtsreinigung,Reinigungsöl,
GESICHT,Gesichtsreinigung,Reinigungscreme,
GESICHT,Gesichtsreinigung,Reinigungsmilch,
GESICHT,Gesichtsmasken,Feuchtigkeitsmasken,
GESICHT,Gesichtsmasken,Reinigungsmasken,
GESICHT,Gesichtsmasken,Anti-Aging Masken,
GESICHT,Gesichtsmasken,Aktivkohle Masken,
GESICHT,Gesichtsmasken,Tuchmasken,
GESICHT,Augenpflege,Augencreme,
GESICHT,Augenpflege,Augenserum,
GESICHT,Augenpflege,Augengel,
GESICHT,Augenpflege,Augenmasken & Pads,
GESICHT,Augenpflege,Wimpernserum,
GESICHT,Lippenpflege,Lippenbalsam,
GESICHT,Lippenpflege,Lippenpeeling,
GESICHT,Lippenpflege,Lippenserum,
GESICHT,Lippenpflege,Lippenmasken,
GESICHT,Lippenpflege,Lippenöl,
HAARE,Haarpflege,Shampoo,
HAARE,Haarpflege,Conditioner,
HAARE,Haarpflege,Leave-In Conditioner,
HAARE,Haarpflege,Haarkur & Haarmaske,
HAARE,Haarpflege,Haaröl,
HAARE,Haarpflege,Haarserum,
HAARE,Haarpflege,Kopfhautpflege,
HAARE,Haarstyling,Schaumfestiger,
HAARE,Haarstyling,Haargel,
HAARE,Haarstyling,Haarwachs,
HAARE,Haarstyling,Stylingsprays,
HAARE,Haarstyling,Hitzeschutz,
HAARE,Haarstyling,Trockenshampoo,
HAARE,Haarfarbe,Coloration,
HAARE,Haarfarbe,Aufhellung & Blondierung,
HAARE,Haarfarbe,Professionelle Haarfarbe,
HAARE,Haarfarbe,Haartönung,
HAARE,Bürsten & Kämme,Kämme,
HAARE,Bürsten & Kämme,Holzbürsten,
HAARE,Bürsten & Kämme,Flach- & Paddelbürsten,
HAARE,Bürsten & Kämme,Detangler,
HAARE,Bürsten & Kämme,Rundbürsten,
HAARE,Styling-Tools,Lockenwickler,
HAARE,Styling-Tools,Warmluftbürsten,
HAARE,Styling-Tools,Lockenstäbe,
HAARE,Styling-Tools,Glätteisen,
HAARE,Styling-Tools,Haarschneider & Haarscheren,
HAARE,Haar-Accessoires,Haarschmuck,
HAARE,Haar-Accessoires,Haargummis,
HAARE,Haar-Accessoires,Haarspangen & Haarclips,
HAARE,Haar-Accessoires,Haarreifen & Haarbänder,
KÖRPER,Körperpflege,Bodylotion,
KÖRPER,Körperpflege,Körperöl,
KÖRPER,Körperpflege,Körperbutter,
KÖRPER,Körperpflege,Deodorants,
KÖRPER,Körperpflege,Bodyspray,
KÖRPER,Körperreinigung,Duschgel,
KÖRPER,Körperreinigung,Duschschaum,
KÖRPER,Körperreinigung,Duschöl,
KÖRPER,Körperreinigung,Badeschaum,
KÖRPER,Körperreinigung,Körperseife,
KÖRPER,Sonne & Schutz,Sonnenschutz,
KÖRPER,Sonne & Schutz,After Sun,
KÖRPER,Sonne & Schutz,Selbstbräuner,
KÖRPER,Handpflege,Handcreme,
KÖRPER,Handpflege,Handpeeling,
